####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains male-only names
# columns: Male_name, number_of_uses
Aitan,     60.0000000
Aithan,     56.0000000
Aithen,     30.0000000
Aitor,     16.0000000
Aivan,     40.0000000
Aiven,    147.0000000
Aiyan,      5.0000000
Aiydan,     21.0000000
Aiyden,    246.0000000
Aizayah,     11.0000000
Aizeah,      5.0000000
Aizen,    225.0000000
Aizik,    186.0000000
Aj,   1490.0000000
Aja,     84.0000000
Ajaden,      6.0000000
Ajae,      5.0000000
Ajahn,      6.0000000
Ajahni,     58.0000000
Ajai,    157.0000000
Ajak,      5.0000000
Ajalon,      7.0000000
Ajamu,    116.0000000
Ajan,      5.0000000
Ajani,   1453.0000000
Ajavian,     12.0000000
Ajavion,     14.0000000
Ajax,     96.0000000
Ajay,   3370.0000000
Ajayden,     10.0000000
Ajaye,      5.0000000
Ajdin,    208.0000000
Ajee,     35.0000000
Ajeet,     27.0000000
Ajene,     89.0000000
Ajit,    212.0000000
Ajitesh,     10.0000000
Ajith,     27.0000000
Ajmal,     47.0000000
Ajon,     37.0000000
Ajoni,     10.0000000
Akaash,    118.0000000
Akadian,      5.0000000
Akai,    235.0000000
Akam,      5.0000000
Akanni,     11.0000000
Akari,    115.0000000
Akarsh,     24.0000000
Akash,   1882.0000000
Akashdeep,     65.0000000
Akayden,      5.0000000
Akbar,    456.0000000
Akeam,      5.0000000
Akeel,     79.0000000
Akeem,   5218.0000000
Akeen,    220.0000000
Akeil,     30.0000000
Akeim,     50.0000000
Akem,      5.0000000
Akemi,      5.0000000
Aken,      5.0000000
Akera,      5.0000000
Akhari,     11.0000000
Akheem,     44.0000000
Akhenaton,     10.0000000
Akhi,      5.0000000
Akhil,   1318.0000000
Akhilesh,    132.0000000
Akhilleus,      6.0000000
Akhir,     16.0000000
Aki,    222.0000000
Akia,     89.0000000
Akiba,      5.0000000
Akida,     42.0000000
Akie,      5.0000000
Akiel,     79.0000000
Akiem,     62.0000000
Akif,     72.0000000
Akihiro,     32.0000000
Akil,   1752.0000000
Akilan,      5.0000000
Akiles,     27.0000000
Akilesh,      5.0000000
Akili,    374.0000000
Akilles,     36.0000000
Akim,    523.0000000
Akin,    256.0000000
Aking,     39.0000000
Akinola,     15.0000000
Akintunde,     27.0000000
Akio,    227.0000000
