####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains female-only names
# columns: Female_name, number_of_uses
Ageliki,     11.0000000
Agena,     15.0000000
Aggeliki,      5.0000000
Aggie,    164.0000000
Agigail,     21.0000000
Agila,     11.0000000
Aginah,      6.0000000
Aglae,      7.0000000
Aglaia,      6.0000000
Agnes,   5904.0000000
Agnesa,      5.0000000
Agnese,      5.0000000
Agnieszka,    215.0000000
Agostina,     17.0000000
Agrima,     13.0000000
Agripina,     18.0000000
Agueda,    181.0000000
Agusta,      5.0000000
Agustin,     21.0000000
Agustina,    781.0000000
Ah,     11.0000000
Ahaana,     17.0000000
Ahalya,      6.0000000
Ahana,    284.0000000
Ahava,    147.0000000
Ahbree,      5.0000000
Ahilyn,     71.0000000
Ahisha,     16.0000000
Ahja,    100.0000000
Ahjah,     43.0000000
Ahjahnae,      5.0000000
Ahjanae,    136.0000000
Ahjanay,     17.0000000
Ahkeelah,      6.0000000
Ahlaam,     17.0000000
Ahlai,      5.0000000
Ahlam,    561.0000000
Ahlana,    125.0000000
Ahlani,     63.0000000
Ahlanna,     25.0000000
Ahlaya,     66.0000000
Ahlayah,     48.0000000
Ahlayla,     11.0000000
Ahlayna,      6.0000000
Ahlaysia,      5.0000000
Ahlea,     25.0000000
Ahleah,     72.0000000
Ahleena,     16.0000000
Ahleeyah,      5.0000000
Ahleigha,      6.0000000
Ahlena,      5.0000000
Ahlexis,     24.0000000
Ahlexus,     13.0000000
Ahley,     53.0000000
Ahlia,    119.0000000
Ahliana,     16.0000000
Ahlina,     25.0000000
Ahlivia,     58.0000000
Ahliya,     59.0000000
Ahliyah,    181.0000000
Ahlona,      5.0000000
Ahlyana,      5.0000000
Ahlyssa,     37.0000000
Ahlyvia,      5.0000000
Ahmad,     18.0000000
Ahmani,    316.0000000
Ahmara,      7.0000000
Ahmari,    262.0000000
Ahmaria,     33.0000000
Ahmarie,      5.0000000
Ahmarria,      5.0000000
Ahmaya,    140.0000000
Ahmi,      5.0000000
Ahmia,     72.0000000
Ahmiah,      5.0000000
Ahmina,      6.0000000
Ahmira,     50.0000000
Ahmiracle,     13.0000000
Ahmirah,     18.0000000
Ahmiya,    117.0000000
Ahmiyah,    119.0000000
Ahmoni,     36.0000000
Ahmonie,      5.0000000
Ahmya,    415.0000000
Ahmyah,     53.0000000
Ahmyiah,     12.0000000
Ahmyra,      7.0000000
Ahna,    746.0000000
Ahnalee,      6.0000000
Ahnaleigh,      5.0000000
Ahnaya,     16.0000000
Ahnesti,     48.0000000
Ahnesty,     38.0000000
Ahni,     52.0000000
Ahnia,     28.0000000
Ahniah,     12.0000000
Ahnika,    186.0000000
Ahnisty,      6.0000000
Ahniya,    276.0000000
Ahniyah,    206.0000000
Ahniyla,     10.0000000
Ahnjayla,      7.0000000
Ahnna,    167.0000000
Ahnya,    132.0000000
