,,,Chair,Speaker,YSP,,,,,,,,,,,,,,,,,,,,,,,,
1533042401,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:Q,,Talk starts 08:32 Talk ends 08:58 Q/A ends 09:06 - chair ended Q/A to keep on schedule ;,,,,,,,,,,,,,,
1533042405,7/31/18 6:06,Browning,M,M,SR,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533061539,7/31/18 11:25,Brun,M,M,20,,,,,,M:Q,M:Q,M:Q,, ;,,,,,,,,,,,,,,
1533301394,8/3/18 6:03,Burgasser,M,M,17,,,,,,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,,
1533301397,8/3/18 6:03,Burgasser,M,M,17,,,,,,M:Q,F:Q,M:Q,,Talk starts 08:32 Talk ends 08:59 Q/A ends 09:03 ;,,,,,,,,,,,,,,
1533301401,8/3/18 6:03,Burgasser,M,M,17,,,,,,M:Q,F:C,M:Q,,Third question was from the session chair  ;,,,,,,,,,,,,,,
1533301405,8/3/18 6:03,Burgasser,M,M,17,,,,,,M:Q,F:C,M:Q,, ;,,,,,,,,,,,,,,
1533301417,8/3/18 6:03,Burgasser,M,M,17,,,,,,M:Q,F:C,M:Q,, ;,,,,,,,,,,,,,,
1533301732,8/3/18 6:08,Burgasser,M,M,17,,,,,,M:Q,F:C,M:Q,, ;,,,,,,,,,,,,,,
1533301926,8/3/18 6:12,Burgasser,M,M,17,,,,,,M:Q,F:Q,M:Q,,Female question was not answered - perhaps I missed that it was a comment. ;,,,,,,,,,,,,,,
1533302026,8/3/18 6:13,Burgasser,M,M,17,,,,,,M:Q,F:C,M:Q,, ;,,,,,,,,,,,,,,
1533302040,8/3/18 6:14,Burgasser,M,M,17,,,,,,M:Q,F:C,M:Q,, ;,,,,,,,,,,,,,,
1532967629,7/30/18 9:20,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,,"First question was a ""jokey"" question asking to see the speaker's conclusions (which she'd run out of time to talk about) ;",,,,,,,,,,,,,,,
1532967770,7/30/18 9:22,Casamiquela,F,F,PD?,,,,,,M:Q,F:Q,M:Q,,First question by woman not really a question - just asking to show conclusions slide that was skipped ;,,,,,,,,,,,,,,
1532967771,7/30/18 9:22,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1532967775,7/30/18 9:22,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,F:Q,, ;,,,,,,,,,,,,,,
